URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,117,Rockaway Ave,POINT,-73.91195,40.68
http://web.mta.info/nyct/service/,118,Fulton St,POINT,-73.97537,40.69
http://web.mta.info/nyct/service/,119,Clinton - Washington Aves,POINT,-73.9668,40.69
http://web.mta.info/nyct/service/,120,7th Ave,POINT,-73.97285,40.68
http://web.mta.info/nyct/service/,121,Atlantic Av - Barclay's Center,POINT,-73.97678,40.68
http://web.mta.info/nyct/service/,122,Atlantic Av - Barclay's Center,POINT,-73.97881,40.68
http://web.mta.info/nyct/service/,123,Borough Hall,POINT,-73.99015,40.69
http://web.mta.info/nyct/service/,124,Aqueduct Racetrack,POINT,-73.83592,40.67
http://web.mta.info/nyct/service/,125,Morris Park,POINT,-73.8605,40.85
http://web.mta.info/nyct/service/,126,Pelham Pkwy,POINT,-73.85536,40.86
http://web.mta.info/nyct/service/,127,Nostrand Ave,POINT,-73.95043,40.68
http://web.mta.info/nyct/service/,128,Nevins St,POINT,-73.98041,40.69
http://web.mta.info/nyct/service/,129,Eastern Pkwy - Bklyn Museum,POINT,-73.96422,40.67
http://web.mta.info/nyct/service/,130,Beverly Rd,POINT,-73.94885,40.65
http://web.mta.info/nyct/service/,131,Church Ave,POINT,-73.94946,40.65
http://web.mta.info/nyct/service/,132,Newkirk Ave,POINT,-73.9483,40.64
http://web.mta.info/nyct/service/,133,Brooklyn College - Flatbush Ave,POINT,-73.94754,40.63
http://web.mta.info/nyct/service/,134,Sterling St,POINT,-73.95073,40.66
http://web.mta.info/nyct/service/,135,Crown Hts - Utica Ave,POINT,-73.93293,40.67
http://web.mta.info/nyct/service/,136,Kingston Ave,POINT,-73.94216,40.67
http://web.mta.info/nyct/service/,137,Nassau Ave,POINT,-73.95118,40.72
http://web.mta.info/nyct/service/,138,Greenpoint Ave,POINT,-73.95443,40.73
http://web.mta.info/nyct/service/,139,Marcy Ave,POINT,-73.95783,40.71
http://web.mta.info/nyct/service/,140,Hewes St,POINT,-73.95349,40.71
http://web.mta.info/nyct/service/,141,138th St - Grand Concourse,POINT,-73.92985,40.81
http://web.mta.info/nyct/service/,142,5th Ave - 53rd St,POINT,-73.97525,40.76
http://web.mta.info/nyct/service/,143,Lexington Ave - 53rd St,POINT,-73.96907,40.76
http://web.mta.info/nyct/service/,144,28th St,POINT,-73.9887,40.75
http://web.mta.info/nyct/service/,145,Herald Sq - 34th St,POINT,-73.98794,40.75
http://web.mta.info/nyct/service/,146,1st Ave,POINT,-73.98168,40.73
http://web.mta.info/nyct/service/,147,Times Sq - 42nd St,POINT,-73.98623,40.76
http://web.mta.info/nyct/service/,148,Metropolitan Ave,POINT,-73.95142,40.71
http://web.mta.info/nyct/service/,149,Grand St,POINT,-73.9405,40.71
http://web.mta.info/nyct/service/,150,Graham Ave,POINT,-73.94394,40.71
http://web.mta.info/nyct/service/,151,Bedford Ave,POINT,-73.95666,40.72
http://web.mta.info/nyct/service/,152,Montrose Ave,POINT,-73.93979,40.71
http://web.mta.info/nyct/service/,153,Long Island City - Court Sq,POINT,-73.94382,40.75
http://web.mta.info/nyct/service/,154,21st St,POINT,-73.9496,40.74
http://web.mta.info/nyct/service/,155,39th Ave,POINT,-73.93285,40.75
http://web.mta.info/nyct/service/,156,145th St,POINT,-73.95036,40.83
http://web.mta.info/nyct/service/,157,157th St,POINT,-73.94489,40.83
http://web.mta.info/nyct/service/,158,96th St,POINT,-73.97232,40.79
http://web.mta.info/nyct/service/,159,103rd St,POINT,-73.96838,40.8
http://web.mta.info/nyct/service/,160,Central Park North (110th St),POINT,-73.95182,40.8
http://web.mta.info/nyct/service/,161,103rd St,POINT,-73.96137,40.8
http://web.mta.info/nyct/service/,162,72nd St,POINT,-73.98197,40.78
http://web.mta.info/nyct/service/,163,81st St,POINT,-73.9721,40.78
http://web.mta.info/nyct/service/,164,75th Ave,POINT,-73.83692,40.72
http://web.mta.info/nyct/service/,165,86th St,POINT,-73.96883,40.79
http://web.mta.info/nyct/service/,166,Cathedral Pkwy (110th St),POINT,-73.96685,40.8
http://web.mta.info/nyct/service/,167,116th St - Columbia University,POINT,-73.96411,40.81
http://web.mta.info/nyct/service/,168,125th St,POINT,-73.9455,40.81
http://web.mta.info/nyct/service/,169,135th St,POINT,-73.94077,40.81
http://web.mta.info/nyct/service/,170,116th St,POINT,-73.94963,40.8
http://web.mta.info/nyct/service/,171,Tremont Ave,POINT,-73.90523,40.85
http://web.mta.info/nyct/service/,172,137th St - City College,POINT,-73.95368,40.82
http://web.mta.info/nyct/service/,173,145th St,POINT,-73.93624,40.82
http://web.mta.info/nyct/service/,174,176th St,POINT,-73.91179,40.85
http://web.mta.info/nyct/service/,175,Burnside Ave,POINT,-73.90768,40.85
http://web.mta.info/nyct/service/,176,170th St,POINT,-73.9134,40.84
http://web.mta.info/nyct/service/,177,168th St,POINT,-73.94013,40.84
http://web.mta.info/nyct/service/,178,181st St,POINT,-73.9336,40.85
http://web.mta.info/nyct/service/,179,191st St,POINT,-73.92941,40.86
http://web.mta.info/nyct/service/,180,175th St,POINT,-73.9397,40.85
http://web.mta.info/nyct/service/,181,Beach 44th St,POINT,-73.77601,40.59
